signal c1bcc
type 0
comment created using xlabel Tue Aug 29 11:47:10 2000
comment created using xlabel Mon Jul 13 14:02:37 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.238486  -1  H*
    0.420962  -1  L*H
    0.784556  -1  L*H
    1.330905  -1  L*H
    1.748208  -1  0%
signal c1brg
type 0
comment created using xlabel Tue Aug 29 11:45:50 2000
comment created using xlabel Mon Jul 13 14:05:56 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.215699  -1  H*
    0.649757  -1  L*H
    1.233023  -1  L*H
    1.551379  -1  0%
signal f2bcc
type 0
comment created using xlabel Wed Jun  5 15:31:03 2002
comment created using xlabel Tue Jul 28 16:29:14 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
   51.989380   -1 H%
   52.967595   -1 H*L
   53.016844   -1 0%
   53.166938   -1 H*
   53.347520   -1 !H*
   53.504650   -1 !H*
   53.582043   -1 0%
   53.994425   -1 H*L
   54.196083   -1 %
   54.289923   -1 H*L
   54.620599   -1 L*H
   55.007949   -1 0%
   55.471161   -1 L*H
   55.567315   -1 0%
   56.366282   -1 H*
   56.593769   -1 L*H
   56.668816   -1 0%
   59.013521   -1 H*
   59.203484   -1 #
   59.307846   -1 H*
   59.517743   -1 L*H
   59.775718   -1 0%
signal q2bcc
type 0
comment created using xlabel Fri Jul 10 15:01:34 1998
comment created using xlabel Fri Jul 10 13:51:11 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.406119  -1  H*
    0.927221  -1  L*H
    1.451620  -1  0%
signal q2brg
type 0
comment created using xlabel Thu Jul  6 12:32:34 2000
comment created using xlabel Thu May  7 14:35:02 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.338941  -1  H*
    0.716795  -1  L*H
    1.049772  -1  0%
signal r3bcc
type 0
comment created using xlabel Mon Mar 12 11:57:51 2001
comment created using xlabel Fri Jan 15 14:42:27 1999
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    3.866475   -1 H*
    4.471081   -1 !H*
    5.078896   -1 L*H
    5.584907   -1 L*H
    5.788713   -1 0%
    6.526794   -1 H*
    7.182302   -1 L*H
    8.220176   -1 H%
   10.950841   -1 H*
   11.516972   -1 L*H
   12.093122   -1 L*H
   12.534003   -1 0%
   13.125056   -1 L*H
   13.625987   -1 L*H
   14.172078   -1 0%
   14.780967   -1 H*
   15.459656   -1 L*H
   15.702808   -1 0%
   16.637013   -1 H*
   16.994996   -1 L*H
   17.556117   -1 L*H
   18.074885   -1 L*H
   18.688378   -1 0%
   19.470747   -1 H*L
   20.635002   -1 L*H
   21.119039   -1 0%
   22.430066   -1 H*
   22.859452   -1 L*H
   23.236677   -1 0%
   24.188786   -1 H*
   24.490577   -1 !H*
   25.481367   -1 L*H
   25.907218   -1 0%
   26.303102   -1 L*H
   26.621414   -1 L*H
   27.495483   -1 L*H
   27.886170   -1 0%
   30.269275   -1 L*H
   30.688686   -1 L*H
   31.166066   -1 L*H
   31.366467   -1 0%
   31.642702   -1 L*H
   32.288315   -1 L*H
   33.123623   -1 L*H
   33.575430   -1 0%
   34.203376   -1 H*
   34.809586   -1 L*H
   35.064185   -1 0%
   36.406064   -1 H*
   36.738442   -1 L*H
   37.560083   -1 L*
   38.015994   -1 L*H
   38.206374   -1 0%
signal r3brg
type 0
comment created using xlabel Mon Mar 12 10:37:53 2001
comment created using xlabel Thu May  7 14:46:32 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    2.153101  -1  H*
    2.412363  -1  L*H
    2.602143  -1  0%
    2.869551  -1  H*
    3.091214  -1  L*H
    3.848363  -1  L*H
    4.161179  -1  0%
    5.556329  -1  H*
    5.727873  -1  0%
    5.904463  -1  H*
    6.050781  -1  !H*L
    6.277825  -1  0%
    6.469551  -1  H*L
    7.391242  -1  H*
    8.067328  -1  L*H
    8.221762  -1  0%
    8.445321  -1  H*
    9.776299  -1  H*
   10.003748  -1  L*H
   10.216679  -1  0%
   10.884950  -1  H*
   11.218277  -1  !H*
   11.713931  -1  L*H
   11.955445  -1  0%
   14.147844  -1  H*L
   15.584776  -1  L*H
   15.960660  -1  0%
   16.766152  -1  L*H
   17.135433  -1  0%
   18.239570  -1  H*L
   19.293050  -1  H*
   19.653798  -1  !H*
   20.059954  -1  L*H
   20.430793  -1  L*H
   20.582156  -1  0%
   21.019891  -1  L*H
   21.942391  -1  L*H
   22.059248  -1  0%
   22.232910  -1  H*L
   22.536385  -1  L*H
   22.656726  -1  0%
   26.155412  -1  H*L
   27.729409  -1  L*H
   27.957935  -1  0%
   28.348752  -1  H*L
   30.246733  -1  H*
   30.399121  -1  L*H
   30.703343  -1  L*H
   30.927865  -1  0%
   31.253101  -1  H*
   31.541419  -1  L*H
   31.911529  -1  0%
signal s2bcc
type 0
comment created using xlabel Thu Jul  6 16:10:04 2000
comment created using xlabel Wed Jul  8 17:44:22 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.412116  -1  H*
    0.979532  -1  L*H
    1.471339  -1  0%
signal Belfast_sentences/statement/s2brg
type 0
comment created using xlabel Fri Jan 25 13:42:16 2002
comment created using xlabel Thu Jul  6 13:06:29 2000
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.467207   -1 H*
    0.879257   -1 L*H
    1.187484   -1 0%
signal p3bcc
type 0
comment created using xlabel Fri Jun  7 10:18:53 2002
comment created using xlabel Thu Aug 13 09:37:58 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    2.067872   -1 H*
    2.414445   -1 !H*L
    2.801192   -1 !H*
    3.095806   -1 H*
    3.911554   -1 L*H
    4.327385   -1 %
    4.452242   -1 H*
    4.613838   -1 L*H
    5.505619   -1 H%
    5.691001   -1 H*
    6.101821   -1 L*H
    6.978572   -1 L*H
    7.204022   -1 %
    7.421139   -1 H*
    7.862019   -1 L*H
    8.297890   -1 %
    9.210591   -1 H*L
    9.551041   -1 %
   10.773713   -1 %
   10.949063   -1 H*
   11.420004   -1 L*H
   11.685534   -1 %
   11.820804   -1 H*
   12.291745   -1 L*
   12.482807   -1 %
   13.292324   -1 H*
   13.513115   -1 L*
   14.364466   -1 %
   14.687848   -1 H*
   15.103678   -1 L*H
   15.444359   -1 %
   16.160789   -1 H*
   16.506480   -1 L*H
   16.947360   -1 %
   18.590190   -1 H*
   20.057565   -1 L*H
   20.381101   -1 %
   21.021446   -1 H*L
   21.622647   -1 L*
   22.314027   -1 L*H
   22.930258   -1 %
   24.148596   -1 H*
   24.449197   -1 L*H
   24.659617   -1 %
   24.920137   -1 H*
   25.305907   -1 L*H
   25.746788   -1 L*H
   26.583459   -1 L*H
   26.909109   -1 %
   27.773491   -1 H*
   28.449842   -1 %
   28.860663   -1 L*H
   29.411763   -1 L*H
   29.861205   -1 L*H
   30.373684   -1 %
   31.150998   -1 H*
   31.461618   -1 L*H
   32.268229   -1 L*H
   32.889470   -1 %
   33.419964   -1 H*
   33.770160   -1 L*H
   34.281685   -1 %
   35.594306   -1 %
   35.879372   -1 L*H
   36.295203   -1 %
   37.097935   -1 H*L
   37.498736   -1 L*H
   37.919576   -1 !H*L
   38.099936   -1 %
   38.564823   -1 L*H
   39.171034   -1 L*H
   39.551794   -1 L*H
   40.303295   -1 L*H
   40.774235   -1 %
   41.570837   -1 H*
   42.131957   -1 L*H
   42.647988   -1 L*H
   42.993678   -1 %
   44.050795   -1 H*
   44.571836   -1 L*H
   44.842376   -1 %
   44.977655   -1 L*H
   45.618936   -1 L*H
   45.874446   -1 %
   46.265227   -1 H*
   46.726147   -1 L*H
   47.151998   -1 H*
   47.658008   -1 L*H
   48.108909   -1 %
   48.692906   -1 H*
   48.810321   -1 L*H
   49.334186   -1 %
   50.047793   -1 %
   50.551991   -1 H*
   50.837562   -1 L*H
   51.096115   -1 %
   51.589062   -1 L*H
   51.812545   -1 %
   52.380653   -1 H*
   52.856604   -1 L*H
   53.207412   -1 L*H
   53.583055   -1 L*H
   53.848585   -1 %
   54.389671   -1 H*
   54.585062   -1 L*H
   55.079276   -1 %
   55.727343   -1 %
   56.303494   -1 H*
   56.824534   -1 L*
   57.465815   -1 L*H
   57.926735   -1 %
signal p3brg
type 0
comment created using xlabel Fri Jun  7 10:27:35 2002
comment created using xlabel Wed May 13 20:17:22 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    3.045525   -1 H*
    3.309640   -1 !H*L
    3.522025   -1 !H*
    3.857219   -1 !H*
    4.096437   -1 L*H
    4.409753   -1 %
    4.853615   -1 H*
